,RMSE,MAE,R2
Canada,747.6473372132297,567.1446826760289,0.09623087778674888
China,152512.4673937664,149605.07180722058,-76.85595244489299
Germany,3001.3774411880704,2778.491379786892,-1.74875707663124
India,30879.668396408848,30819.994586070792,-9.759778726806035
Indonesia,5840.463385012557,5661.023240364461,-3.7862779567036524
Japan,3506.526398054814,2992.523057750911,-0.5092313334502216
Mexico,1290.7323656598123,1077.7884022736857,-3.843327920650087
United States,12900.564688079701,12269.204751125271,-4.6175492465710235
