Ulke,Yil,Elektrik_Erisim_%,Temiz_Yakit_Erisim,Yenilenebilir_Kapasite_KisiBasi,Gelismis_Ulkeler_Finansal_Akisi,Yenilenebilir_Enerji_Orani,Fosil_Yakit_Elektrik_TWh,Nukleer_Elektrik_TWh,Yenilenebilir_Elektrik_TWh,Dusuk_Karbon_Elektrik_%,KisiBasi_Enerji_Tuketimi,Enerji_Yoğunluğu,CO2_Emisyonu_kt,Yenilenebilir_Enerji_%,Gdp_Buyume,Gdp_KisiBasi,Nufus_Yogunlugu,Yuzolcumu_Km2,Enlem,Boylam,Kalkinma_Endeksi
Chad,2001,3.5271144,2.8,0.23,5880000.0,88.6,0.09,0.0,0.01,10.0,116.015,7.51,340.0,11.986706828095237,11.65813465,197.1460821,13.0,1284000.0,15.454166,18.732207,0.13376451629975478
Chad,2002,3.8667629,2.5,0.22,94224000.0,88.53,0.09,0.0,0.01,10.0,110.641914,7.05,400.000006,11.986706828095237,8.491209819,221.4165369,13.0,1284000.0,15.454166,18.732207,0.13135062096795863
Chad,2003,4.201176,2.5,0.21,94224000.0,83.91,0.1,0.0,0.01,9.090909,105.11012,6.56,449.9999881,11.986706828095237,14.72166701,292.6008802,13.0,1284000.0,15.454166,18.732207,0.1293801717472124
Chad,2004,3.5,2.45,0.2,94224000.0,84.0,0.11,0.0,0.01,8.333334,105.9355,5.0,449.9999881,11.986706828095237,33.62937185,454.3363652,13.0,1284000.0,15.454166,18.732207,0.13312437402587923
Chad,2005,4.8636937,2.4,0.2,94224000.0,83.82,0.11,0.0,0.01,8.333334,109.55552,4.35,479.9999893,11.986706828095237,17.33253374,658.566973,13.0,1284000.0,15.454166,18.732207,0.12582391723082037
Chad,2006,5.1965566,2.4,0.19,94224000.0,83.74,0.12,0.0,0.01,7.692308,107.3414,4.4,509.9999905,11.986706828095237,0.648262014,710.3963987,13.0,1284000.0,15.454166,18.732207,0.11924014135076073
Chad,2007,5.533941,2.3,0.19,25860000.0,82.8,0.12,0.0,0.0,0.0,114.514046,4.38,500.0,11.986706828095237,3.271499579,799.603742,13.0,1284000.0,15.454166,18.732207,0.11977250809382606
Chad,2008,5.8785563,2.3,0.18,94224000.0,80.63,0.14,0.0,0.0,0.0,116.01666,4.43,540.0000215,11.986706828095237,3.052691532,929.3827519,13.0,1284000.0,15.454166,18.732207,0.11841218602401579
Chad,2009,6.2331114,2.5,0.17,94224000.0,79.78,0.17,0.0,0.01,5.5555553,122.113625,4.37,790.0000215,11.986706828095237,4.217695552,803.6863884,13.0,1284000.0,15.454166,18.732207,0.11842885311894703
Chad,2010,6.4,2.6,0.17,94224000.0,79.01,0.18,0.0,0.01,5.263158,130.90942,3.95,1240.00001,11.986706828095237,13.55010086,892.5688697,13.0,1284000.0,15.454166,18.732207,0.12096100868710935
Chad,2011,8.98,2.8,0.16,0.0,82.37,0.18,0.0,0.01,5.263158,180.9343,4.08,1100.000024,11.986706828095237,0.082869798,984.7361305,13.0,1284000.0,15.454166,18.732207,0.1206015802335402
Chad,2012,7.835406,2.9,0.16,94224000.0,79.73,0.23,0.0,0.0,0.0,302.57126,3.62,1860.000014,11.986706828095237,8.882576072,967.3529488,13.0,1284000.0,15.454166,18.732207,0.12026758999691027
Chad,2013,8.126558,3.3,0.16,30000.0,76.45,0.26,0.0,0.0,0.0,302.8611,3.55,2190.000057,11.986706828095237,5.700001363,979.8117426,13.0,1284000.0,15.454166,18.732207,0.1166979811206422
Chad,2014,8.405685,3.7,0.15,20000.0,76.86,0.27,0.0,0.0,0.0,303.73856,3.53,2259.99999,11.986706828095237,6.899985045,1020.287979,13.0,1284000.0,15.454166,18.732207,0.11802836374368283
Chad,2015,7.7,4.1,0.15,20000.0,77.35,0.28,0.0,0.0,0.0,298.34583,3.31,2390.000105,11.986706828095237,2.767675685,776.0197523,13.0,1284000.0,15.454166,18.732207,0.11578847083464269
Chad,2016,9.263847,4.6,0.22,41330000.0,77.77,0.28,0.0,0.01,3.448276,286.59064,3.72,2210.000038,11.986706828095237,-6.255527085,693.4497674,13.0,1284000.0,15.454166,18.732207,0.11489772710729981
Chad,2017,10.9,5.1,0.22,10000.0,78.27,0.29,0.0,0.01,3.3333333,446.25546,3.87,2150.000095,11.986706828095237,-2.988695986,665.9488849,13.0,1284000.0,15.454166,18.732207,0.11869894064890747
Chad,2018,10.11404,5.5,0.21,94224000.0,77.7,0.29,0.0,0.01,3.3333333,457.11847,3.85,2190.000057,11.986706828095237,2.3740378,726.1510071,13.0,1284000.0,15.454166,18.732207,0.12015842335134382
Chad,2019,8.4,6.1,0.21,94224000.0,77.79,0.3,0.0,0.01,3.2258065,458.18085,3.77,2250.0,11.986706828095237,3.247181917,709.5400432,13.0,1284000.0,15.454166,18.732207,0.11952041944274948
Chad,2020,11.080117,6.8,0.2,94224000.0,32.63816497829233,0.28,0.0,0.01,3.448276,372.5109,5.3073450588901805,159866.46268574602,11.986706828095237,-0.947304885,659.270045,13.0,1284000.0,15.454166,18.732207,0.0889588701391789
China,2000,97.0218,42.0,58.78,243620000.0,29.63,1113.3,16.74,225.56,17.874004,9334.936,10.85,3346530.0,5.656925,8.490093406,959.3724836,153.0,9596960.0,35.86166,104.195397,0.2452466066971216
China,2001,97.27279,42.3,61.01,325050000.0,28.36,1182.59,17.47,280.73,20.1379,9797.812,10.36,3529080.0,6.618624,8.335733478,1053.108243,153.0,9596960.0,35.86166,104.195397,0.24888369209508726
China,2002,97.516205,43.1,63.68,218270000.0,27.0,1337.46,25.13,291.41,19.137848,10602.087,10.12,3810060.059,6.2804885,9.13363079,1148.50829,153.0,9596960.0,35.86166,104.195397,0.25384528604130324
China,2003,97.75438,43.4,70.24,22510000.0,23.86,1579.96,43.34,287.28,17.304693,12273.32,10.48,4415910.156,5.3011093,10.03803048,1288.643252,153.0,9596960.0,35.86166,104.195397,0.2623856358332007
China,2004,97.98967,44.9,77.85,32680000.0,20.17,1795.41,50.47,357.43,18.513056,14272.745,10.83,5124819.824,5.60094,10.11362138,1508.668098,153.0,9596960.0,35.86166,104.195397,0.27424502115059474
China,2005,98.22443,46.3,86.43,155060000.0,17.44,2042.8,53.09,404.37,18.296497,16114.158,10.72,5824629.883,5.554481,11.39459181,1753.417829,153.0,9596960.0,35.86166,104.195397,0.28505605945138124
China,2006,98.46105,47.7,96.27,127720000.0,16.39,2364.16,54.84,446.72,17.50206,17552.816,10.41,6437470.215,5.5779824,12.72095567,2099.229435,153.0,9596960.0,35.86166,104.195397,0.29702618717532353
China,2007,98.7022,49.4,109.0,24770000.0,14.88,2718.7,62.13,500.71,17.151705,18955.008,9.81,6993180.176,5.718535,14.23086093,2693.970063,153.0,9596960.0,35.86166,104.195397,0.30959018020404755
China,2008,98.95058,51.1,128.8,142770000.0,14.14,2762.29,68.39,665.08,20.981703,19560.7,9.18,7199600.098,7.268667,9.65067892,3468.304602,153.0,9596960.0,35.86166,104.195397,0.3181459625608093
China,2009,99.2089,53.5,150.78,58540000.0,13.43,2980.2,70.05,664.39,19.7715,20281.068,8.95,7719069.824,6.9355316,9.398725632,3832.236432,153.0,9596960.0,35.86166,104.195397,0.3267691146389977
China,2010,99.7,55.6,170.41,131240000.0,12.26,3326.19,74.74,786.38,20.564993,21551.547,8.93,8474919.922,7.615998,10.63587106,4550.453108,153.0,9596960.0,35.86166,104.195397,0.34551702788005884
China,2011,99.848724,58.0,194.62,43040000.0,11.34,3811.77,87.2,792.38,18.748974,23090.885,8.75,9282549.805,7.084204,9.550832179,5614.352135,153.0,9596960.0,35.86166,104.195397,0.36151927962813146
China,2012,99.96193,60.7,218.25,100650000.0,11.53,3869.38,98.32,999.56,22.102327,23873.234,8.41,9541870.117,8.522597,7.863736449,6300.615118,153.0,9596960.0,35.86166,104.195397,0.37592392687260695
China,2013,99.996445,63.2,258.3,301710000.0,11.45,4203.77,111.5,1093.37,22.276764,24600.36,8.05,9984570.313,8.959421,7.766150098,7020.338485,153.0,9596960.0,35.86166,104.195397,0.3916689468423381
China,2014,100.0,66.0,296.29,229420000.0,11.94,4345.86,133.22,1289.23,24.659735,25072.023,7.69,10006669.92,10.19733,7.425763656,7636.116601,153.0,9596960.0,35.86166,104.195397,0.4070238468361964
China,2015,100.0,68.4,340.55,92000000.0,12.18,4222.76,171.38,1393.66,27.040327,25209.49,7.21,9861099.609,10.787498,7.041328879,8016.431435,153.0,9596960.0,35.86166,104.195397,0.414108503044675
China,2016,100.0,70.6,382.59,1245180000.0,12.56,4355.0,213.18,1522.79,28.500713,25164.803,6.71,9874660.156,11.530947,6.848762205,8094.363367,153.0,9596960.0,35.86166,104.195397,0.427169397788541
