Ulke,Ekonomik_Gosterge_Puani,Enerji_Gosterge_Puani,Yenilenebilir_Enerji_Puani,Cevresel_Gosterge_Puani,Cografi_Demografik_Puani
Kazakhstan,0.533034630359832,0.7270511911240611,0.2871613119727987,0.438298220615558,0.5
Kenya,0.4684266536972629,0.3753348860282344,0.39012736072628634,0.5488217748447415,0.5
Kiribati,0.47805211201912334,0.4599366359015451,0.3383645715187439,0.5021624580818278,0.5
Kuwait,0.4538328103407173,0.49164897137646885,0.11636435958631663,0.40283739842961974,0.5
Kyrgyzstan,0.43015550889077236,0.5736703605292695,0.4074897798895205,0.5391026905197914,0.5
Latvia,0.6169388141931544,0.5136046897529705,0.46910807974816376,0.5746646743466959,0.5
Lebanon,0.5911766610201461,0.6334655756121286,0.4072947900660326,0.5078131534480465,0.5
Lesotho,0.5933092671620182,0.5079412506598382,0.5966476139655007,0.5442152332920978,0.5
Liberia,0.649852769743358,0.4331910608899053,0.33534045229985576,0.5750421115784874,0.5
Libya,0.48131909286027197,0.5215357677939938,0.6127728937728937,0.4979442387115891,0.5
Lithuania,0.606573482376918,0.4937231872291667,0.44561004784688996,0.5249981641998396,0.5
Luxembourg,0.5084480126448803,0.49097325776757705,0.42983520105471323,0.49985278470916555,0.5
Madagascar,0.6068273224116143,0.3636806810089255,0.5316758197054755,0.6090154210262875,0.5
Malawi,0.5388000229200549,0.47503718864297506,0.5534934624254557,0.6220515703343359,0.5
Malaysia,0.6032154067000224,0.5372414814527515,0.3916183137254171,0.4403832690595838,0.5
Maldives,0.4354335288103197,0.6134737518511686,0.29731068920585224,0.5461446890649772,0.5
Mali,0.38117586295500294,0.5251005367951667,0.6102831821839455,0.6413486016523097,0.5
Malta,0.3684847289975896,0.48628517754556944,0.4140780911062906,0.3099232386044626,0.5
Mauritania,0.3513203996082199,0.5292021117190389,0.32435961654672013,0.572307516661502,0.5
Mauritius,0.3637996982472189,0.4680956613072137,0.30852684717760437,0.4336870669238195,0.5
Mexico,0.6407143899843809,0.6265567667965941,0.2559027151144054,0.4258733366800609,0.5
Mongolia,0.37697429628617785,0.4114603025069689,0.28548004091542933,0.5522949033439367,0.5
Morocco,0.4852716336972847,0.5857035397311358,0.27041978938248223,0.5519435640665138,0.5
Mozambique,0.5249053894396639,0.4577902492340574,0.46552570317494507,0.6917748807130063,0.5
Myanmar,0.5054439132603215,0.3749650055652076,0.5677038439409934,0.7459486002216629,0.5
Namibia,0.47419803785016335,0.5099472287575946,0.3696811125987993,0.6313915677832233,0.5
Nauru,0.4210663473127501,0.3998958880649369,0.16166546044255023,0.5599288408457254,0.5
Nepal,0.40248885189444106,0.467038836335708,0.5469517295342939,0.6903772580717585,0.5
Netherlands,0.5703069616264979,0.4927418441813762,0.44775330396475777,0.4800365986457374,0.5
New Caledonia,0.6739458778481547,0.46936752670889276,0.37868091206918947,0.6586863082724942,0.5
New Zealand,0.5004098896344422,0.4473045892535305,0.5158333333333334,0.48228575488302133,0.5
Nicaragua,0.5812454206781231,0.46247832989332077,0.4767261023243371,0.5045379586587351,0.5
Niger,0.46570300551901245,0.41935828316908086,0.38665438354061127,0.5180778492239219,0.5
Nigeria,0.5159244394828433,0.44032575857796974,0.4497822209706185,0.5016809571297591,0.5
North Macedonia,0.5774973152197047,0.6347869647684495,0.480301724137931,0.4416429626071096,0.5
Norway,0.5011149942023787,0.47284353602286355,0.4399022801302933,0.5296598636359822,0.5
Oman,0.581356956902554,0.5439289750415035,0.24232006773920406,0.4980009083557949,0.5
Pakistan,0.49204509651585504,0.36550948355222757,0.3729091831557585,0.556864371905909,0.5
Panama,0.4323047526865052,0.5052414453838954,0.4258812080228365,0.5885461996051679,0.5
Papua New Guinea,0.4181969230521192,0.4532341318236647,0.5138897168405364,0.5013627108992518,0.5
Paraguay,0.4968188334227529,0.5760884261369659,0.4902936802733972,0.6516421394738097,0.5
Peru,0.4753321651991703,0.5246216627969038,0.3389685579653484,0.5634472866535397,0.5
Philippines,0.49852478968540764,0.4169409761225752,0.4579051559553394,0.6621340670690442,0.5
Poland,0.48294831530827514,0.5028338368277797,0.4822857142857143,0.5009327287814811,0.5
Portugal,0.6239504230128341,0.5350970125570937,0.5081033091202583,0.4870677397305128,0.5
Puerto Rico,0.3777864697058453,0.47920440172716533,0.3122213747924202,0.5181778280542987,0.5
Qatar,0.41630056207154376,0.4883625968280449,0.3770300157977883,0.5192183635653922,0.5
