Ulke,Yil,Elektrik_Erisim_%,Temiz_Yakit_Erisim,Yenilenebilir_Kapasite_KisiBasi,Gelismis_Ulkeler_Finansal_Akisi,Yenilenebilir_Enerji_Orani,Fosil_Yakit_Elektrik_TWh,Nukleer_Elektrik_TWh,Yenilenebilir_Elektrik_TWh,Dusuk_Karbon_Elektrik_%,KisiBasi_Enerji_Tuketimi,Enerji_Yoğunluğu,CO2_Emisyonu_kt,Yenilenebilir_Enerji_%,Gdp_Buyume,Gdp_KisiBasi,Nufus_Yogunlugu,Yuzolcumu_Km2,Enlem,Boylam,Karbon_Yogunlugu,Yenilenebilir_Enerji_Kullanimi,Enerji_Verimliligi,Nufusun_Elektrik_Erisimi,Elektrik_Erisim_Yillik_Degisim,CO2_Yillik_Degisim
Argentina,2015,99.62539,99.7,247.37,109830000.0,9.4,97.18,6.64,33.97,29.472387,23046.873,3.36,185550.0031,10.907397,2.731159828,13789.06042,17.0,2780400.0,-38.416097,-63.616672,8.050983884017585,0.09672772175334768,6859.188392653001,1693.6316299999999,-0.0037461000000000855,0.033129158117550794
Argentina,2016,99.84958,99.8,245.23,250160000.0,9.38,100.8,7.82,31.02,27.81438,22726.455,3.41,183160.0037,10.167007,-2.080327844,12790.24247,17.0,2780400.0,-38.416097,-63.616672,8.059330137498346,0.09305555555546324,6664.649559921858,1697.44286,0.002250329961067221,-0.012880621719590812
Argentina,2017,100.0,99.8,244.82,503740000.0,10.37,99.4,5.77,33.4,28.267298,22503.818,3.32,179320.0073,10.964719,2.818502978,14613.04182,17.0,2780400.0,-38.416097,-63.616672,7.968425948876764,0.10432595573430146,6778.258433530776,1700.0,0.001506466026196529,-0.020965256182728487
Argentina,2018,99.98958,99.8,259.47,492720000.0,10.52,98.31,6.51,34.97,29.673082,22163.16,3.31,176899.9939,11.39763,-2.617396463,11795.15939,17.0,2780400.0,-38.416097,-63.616672,7.981713523703299,0.10700844268120535,6695.818730915534,1699.82286,-0.00010419999999999874,-0.013495501346658667
Argentina,2019,100.0,99.9,283.38,474460000.0,10.74,90.56,7.97,34.63,31.991589,20725.168,3.35,168100.0061,11.926772,-2.025934237,10056.63794,17.0,2780400.0,-38.416097,-63.616672,8.110911626868356,0.11859540636029307,6186.617313248161,1700.0,0.00010421085877143632,-0.04974555174362838
Argentina,2020,100.0,99.9,311.28,94224000.0,32.63816497829233,91.58,10.06,37.05,33.967842,19314.066,5.3073450588901805,159866.46268574602,12.179417,-9.895268964,8579.017773,17.0,2780400.0,-38.416097,-63.616672,8.277203913756225,0.35638965907683656,3639.1200845861063,1700.0,0.0,-0.04898003043114685
Australia,2000,100.0,100.0,113.13749816041205,94224000.0,8.42,181.05,0.0,17.11,8.634437,68632.96,6.16,339450.0,3.9888778,3.912427733,21697.70848,3.0,7741220.0,-25.274398,133.775136,4.945874402036572,0.046506489919885936,11141.714285533415,300.0,0.0,0.0
Australia,2001,100.0,100.0,113.13749816041205,94224000.0,8.37,194.33,0.0,17.4,8.218014,68338.28,5.91,345640.0,3.870762,2.038300732,19527.32358,3.0,7741220.0,-25.274398,133.775136,5.0577802075205875,0.04307106468376314,11563.16074430519,300.0,0.0,0.01823538076299891
Australia,2002,100.0,100.0,113.13749816041205,94224000.0,8.74,197.29,0.0,17.35,8.0833025,68892.78,5.89,353369.9951,3.9314504,4.014526654,20117.78889,3.0,7741220.0,-25.274398,133.775136,5.129274723708348,0.04430026864005054,11696.567062619753,300.0,0.0,0.02236429550977892
Australia,2003,100.0,100.0,113.13749816041205,94224000.0,7.15,195.13,0.0,18.5,8.659832,69082.79,5.78,352579.9866,4.014969,3.110325109,23492.40517,3.0,7741220.0,-25.274398,133.775136,5.103731140563374,0.03664223850764278,11952.039792180758,300.0,0.0,-0.002235641143715217
