Model,Canada_RMSE,Canada_MAE,Canada_R2,China_RMSE,China_MAE,China_R2,Germany_RMSE,Germany_MAE,Germany_R2,India_RMSE,India_MAE,India_R2,Indonesia_RMSE,Indonesia_MAE,Indonesia_R2,Japan_RMSE,Japan_MAE,Japan_R2,Mexico_RMSE,Mexico_MAE,Mexico_R2,US_RMSE,US_MAE,US_R2
Random Forest,80.99,69.47,0.93,22370.62,17125.58,-0.87,2212.01,1478.85,-0.39,12887.86,11174.11,-4.75,4070.42,3160.28,-1.39,973.21,579.51,0.69,45.95,33.36,0.99,6613.41,5744.66,-3.87
SARIMA,573.56,506.28,-2.18,24714.3,18345.99,-0.52,1376.09,1238.43,0.46,5236.16,5085.28,-0.78,3453.57,3385.79,-0.42,1355.16,1252.01,0.24,401.67,285.99,0.5,4250.47,3469.54,-0.62
Holt-Winters,1218.12,1185.44,-13.33,66276.07,59327.25,-15.48,1876.69,1238.49,-0.47,4829.92,3745.31,0.43,2213.3,1898.73,0.29,2362.14,1659.87,0.16,1293.38,1133.11,0.92,4567.42,2975.95,-0.94
LSTM,23996.18,23996.12,-32600000000.0,537985.49,537980.02,-120000000000000.0,31914.25,31914.25,-18600000000.0,191091.93,189955.78,-185000000000.0,26260.92,26254.73,-1620000000.0,52546.65,52545.1,-9920000000.0,23265.86,23265.0,-72300000000.0,243421.97,243417.75,-9970000000000.0
GRU,737.76,718.46,-4.25,26068.29,21939.97,-1.5,2221.56,1688.78,-0.4,3030.15,2832.72,0.6,2451.88,1962.59,0.1,3210.02,2933.91,-2.3,739.87,601.81,-0.5,5291.51,4961.87,-1.6
