,RMSE,MAE,R2
Canada,181.19222165554396,165.24908139689614,0.6828897620847634
China,17469.08777440305,14347.004196533642,-0.14560716406128482
Germany,1540.072381344849,1213.241135024703,0.324924149827016
India,3621.5977579646146,3025.353791972131,0.5457892508773614
Indonesia,1808.1810380697677,1566.3382397582263,0.5275202406609572
Japan,894.9112103808895,802.5755359980503,0.742239306838185
Mexico,295.9831526732471,276.61106908647616,0.7452262647456267
United States,2386.463357710667,1752.4736641195923,0.4695263376567266
