Ulke,RMSE,MAE,R2
Canada,650.5701704008027,625.5505598985692,-0.06311434136134642
China,44542.06040998929,41533.42359040282,-7.696106727201615
Germany,1629.3984942462203,1205.015207026394,0.21270763121670655
India,7430.199664173038,6594.43494374158,0.17062817793849494
Indonesia,2279.002380779109,1986.7560048999148,0.3304377515906205
Japan,2455.3092121397603,1857.872225839966,0.24557910532292693
Mexico,844.4774811568454,660.4745049531999,-1.7297538254619238
United States,11844.060714200152,10791.586909758771,-3.1506794401515625
